time [BJD],flux,flux_err
2459772.0200573644,-0.0014289021,0.0019973624
2459772.0270019216,-0.0019831657,0.0019973624
2459772.0339464787,-0.0014500022,0.0019973624
2459772.040891036,-0.00082683563,0.0019973624
2459772.047835593,-0.0027655363,0.0019973624
2459772.0547801503,0.0013668537,0.0019973624
2459772.0617247075,-0.0014697909,0.0019973624
2459772.0686692647,0.00074470043,0.0019973624
2459772.075613822,-0.0020760894,0.0019973624
2459772.082558379,0.0017204285,0.0019973624
2459772.0895029367,-0.0020423532,0.0019973624
2459772.096447494,-0.0025056005,0.0019973624
2459772.103392051,0.00021910667,0.0019973624
2459772.1103366083,0.0015052557,0.0019973624
2459772.1172811654,-0.00024586916,0.0019973624
2459772.1242257226,-0.002120316,0.0019973624
2459772.13117028,0.00416255,0.0019973624
2459772.138114837,0.0011360645,0.0019973624
2459772.145059394,0.0026760101,0.0019973624
2459772.1520039514,-0.0017320514,0.0019973624
2459772.1589485086,-0.0011334419,0.0019973624
2459772.1658930657,-0.0033503175,0.0019973624
2459772.172837623,-0.0029186606,0.0019973624
2459772.17978218,0.000531435,0.0019973624
2459772.1867267373,0.002683878,0.0019973624
2459772.1936712945,-0.0015026927,0.0019973624
2459772.2006158517,-0.00548476,0.0019973624
2459772.207560409,-0.002179563,0.0019973624
2459772.214504966,-0.001258254,0.0019973624
2459772.2214495232,-0.0029999018,0.0019973624
2459772.2283940804,0.000598073,0.0019973624
2459772.2353386376,0.0030540228,0.0019973624
2459772.2422831943,-0.0019478798,0.0019973624
2459772.2492277515,0.0007907152,0.0019973624
2459772.2561723087,-0.0023992062,0.0019973624
2459772.263116866,0.0022944212,0.0019973624
2459772.270061423,0.00027680397,0.0019973624
2459772.2770059803,-0.001142323,0.0019973624
2459772.2839505374,0.0016305447,0.0019973624
2459772.2908950946,0.0022525787,0.0019973624
2459772.297839652,0.0002052784,0.0019973624
2459772.304784209,-0.0022968054,0.0019973624
2459772.311728766,-0.0030631423,0.0019973624
2459772.318673323,-0.0011920929,0.0019973624
2459772.32561788,0.0005636215,0.0019973624
2459772.3325624373,-0.0020186305,0.0019973624
2459772.3395069945,-0.002136469,0.0019973624
2459772.3464515517,-0.0011073947,0.0019973624
2459772.353396109,-0.0062181354,0.0019973624
2459772.360340666,-0.00085181,0.0019973624
2459772.3672852227,-0.0028814077,0.0019973624
2459772.37422978,0.00023651123,0.0019973624
2459772.381174337,0.0021528006,0.0019973624
2459772.3881188943,0.00033807755,0.0019973624
2459772.3950634515,0.0020393133,0.0019973624
2459772.4020080087,-0.0008124113,0.0019973624
2459772.4089525654,0.0019769669,0.0019973624
2459772.4158971226,0.00065147877,0.0019973624
2459772.42284168,0.0011270046,0.0019973624
2459772.429786237,-0.0001090765,0.0019973624
2459772.436730794,-0.0036805868,0.0019973624
2459772.443675351,-0.0039003491,0.0019973624
2459772.450619908,-0.00027179718,0.0019973624
2459772.4575644652,-0.0044600964,0.0019973624
2459772.4645090224,-0.0028219223,0.0019973624
2459772.4714535796,-0.0041803718,0.0019973624
2459772.478398137,0.0023714304,0.0019973624
2459772.4853426935,-0.00357908,0.0019973624
2459772.4922872507,0.00043976307,0.0019973624
2459772.499231808,-0.0022364855,0.0019973624
2459772.506176365,0.00215137,0.0019973624
2459772.513120922,-0.00304991,0.0019973624
2459772.520065479,-0.003342092,0.0019973624
2459772.527010036,0.003587246,0.0019973624
2459772.533954593,-0.0018066168,0.0019973624
2459772.54089915,-0.00010460615,0.0019973624
2459772.5478437073,-0.0025942326,0.0019973624
2459772.5547882644,0.0007368326,0.0019973624
2459772.561732821,-0.0028469563,0.0019973624
2459772.5686773784,0.00024473667,0.0019973624
2459772.575621935,0.0011291504,0.0019973624
2459772.5825664923,0.0018042326,0.0019973624
2459772.5895110494,0.0016411543,0.0019973624
2459772.596455606,1.6212463e-05,0.0019973624
2459772.6034001634,-0.00344038,0.0019973624
2459772.6103447205,0.00046753883,0.0019973624
2459772.6172892773,0.00042581558,0.0019973624
2459772.6242338344,-0.0029976368,0.0019973624
2459772.631178391,-0.00095295906,0.0019973624
2459772.6381229484,0.0010674,0.0019973624
2459772.6450675055,0.0001718998,0.0019973624
2459772.6520120623,-0.0026096106,0.0019973624
2459772.6589566194,-0.001848638,0.0019973624
2459772.665901176,-0.0031888485,0.0019973624
2459772.6728457334,-0.00014448166,0.0019973624
2459772.67979029,0.0007032156,0.0019973624
2459772.6867348473,0.0025610924,0.0019973624
2459772.693679404,-0.0021913648,0.0019973624
2459772.700623961,-0.0014623404,0.0019973624
2459772.707568518,-0.00089383125,0.0019973624
2459772.714513075,-0.0014814138,0.0019973624
2459772.721457632,0.0019395351,0.0019973624
2459772.728402189,-0.0045713186,0.0019973624
2459772.7353467457,-0.0036000013,0.0019973624
2459772.742291303,-0.003257811,0.0019973624
2459772.7492358596,-0.00071692467,0.0019973624
2459772.756180417,-2.1755695e-05,0.0019973624
2459772.7631249735,0.0008457899,0.0019973624
2459772.7700695307,-0.0037979484,0.0019973624
2459772.7770140874,0.0018466711,0.0019973624
2459772.783958644,0.0019865036,0.0019973624
2459772.7909032013,-0.0033434033,0.0019973624
2459772.797847758,-8.4102154e-05,0.0019973624
2459772.8047923152,0.0053608418,0.0019973624
2459772.811736872,0.00018715858,0.0019973624
2459772.8186814287,0.0016930103,0.0019973624
2459772.825625986,0.0027573109,0.0019973624
2459772.8325705426,-0.0010405779,0.0019973624
2459772.8395150993,-0.004009664,0.0019973624
2459772.8464596565,-0.0023638606,0.0019973624
2459772.8534042137,-0.0030310154,0.0019973624
2459772.8603487704,-0.0016958714,0.0019973624
2459772.867293327,-0.0033186078,0.0019973624
2459772.874237884,-0.0044559836,0.0019973624
2459772.881182441,0.0032185316,0.0019973624
2459772.8881269977,-0.000333786,0.0019973624
2459772.8950715545,-8.0645084e-05,0.0019973624
2459772.9020161116,-0.0013136864,0.0019973624
2459772.9089606684,-0.0007339716,0.0019973624
2459772.915905225,-0.0031075478,0.0019973624
2459772.922849782,-0.0015568733,0.0019973624
2459772.9297943385,-1.0073185e-05,0.0019973624
2459772.9367388957,-0.0016183853,0.0019973624
2459772.9436834524,-0.0024312139,0.0019973624
2459772.950628009,-0.0012125969,0.0019973624
2459772.957572566,-0.00498116,0.0019973624
2459772.9645171226,-0.00077211857,0.0019973624
2459772.9714616793,0.000115156174,0.0019973624
2459772.9784062365,0.0005428791,0.0019973624
2459772.985350793,-0.0015519261,0.0019973624
2459772.99229535,-0.0016475916,0.0019973624
2459772.9992399067,0.0028311014,0.0019973624
2459773.0061844634,0.0015243292,0.0019973624
2459773.013129024,-0.0025247931,0.0019973624
2459773.0200735806,-0.0031006336,0.0019973624
2459773.0270181373,0.0022051334,0.0019973624
2459773.033962694,-0.002774775,0.0019973624
2459773.0409072507,-0.00058984756,0.0019973624
2459773.0478518074,-0.003254354,0.0019973624
2459773.054796364,-0.00685817,0.0019973624
2459773.061740921,-0.0012478232,0.0019973624
2459773.0686854776,0.00027096272,0.0019973624
2459773.0756300343,0.0017234087,0.0019973624
2459773.082574591,0.0012419224,0.0019973624
2459773.0895191478,-0.0037724376,0.0019973624
2459773.0964637045,-0.0002644062,0.0019973624
2459773.103408261,-0.0014467835,0.0019973624
2459773.110352818,-0.0013110638,0.0019973624
2459773.117297374,-0.0015181899,0.0019973624
2459773.124241931,-0.0013619065,0.0019973624
2459773.1311864876,-0.0016250014,0.0019973624
2459773.1381310443,2.3007393e-05,0.0019973624
2459773.145075601,0.00049710274,0.0019973624
2459773.152020158,-0.0024369955,0.0019973624
2459773.1589647145,0.00030362606,0.0019973624
2459773.1659092708,-0.00021833181,0.0019973624
2459773.1728538275,0.0022187233,0.0019973624
2459773.179798384,-0.0017793179,0.0019973624
2459773.186742941,-0.0011675954,0.0019973624
2459773.1936874976,-0.0018598437,0.0019973624
2459773.200632054,-0.0012372136,0.0019973624
2459773.2075766106,0.0025624037,0.0019973624
2459773.2145211673,0.0039794445,0.0019973624
2459773.2214657236,-0.00076800585,0.0019973624
2459773.228410281,-0.0032343864,0.0019973624
2459773.235354837,-0.004276812,0.0019973624
2459773.2422993938,-0.0016857982,0.0019973624
2459773.2492439505,-0.0013321042,0.0019973624
2459773.2561885067,-0.0037779212,0.0019973624
2459773.2631330634,-0.00057154894,0.0019973624
2459773.27007762,-0.0018752813,0.0019973624
2459773.2770221764,-0.002881527,0.0019973624
2459773.283966733,0.001947999,0.0019973624
2459773.2909112894,-0.0021229386,0.0019973624
2459773.297855846,-0.0032208562,0.0019973624
2459773.304800403,-0.0026254058,0.0019973624
2459773.311744959,-0.0024368763,0.0019973624
2459773.318689516,-0.0026786923,0.0019973624
2459773.325634072,-0.00018000603,0.0019973624
2459773.332578629,-0.0012155771,0.0019973624
2459773.339523185,-8.3982944e-05,0.0019973624
2459773.3464677418,-0.0008440614,0.0019973624
2459773.353412298,-0.003852725,0.0019973624
2459773.3603568543,-0.0027799606,0.0019973624
2459773.367301411,-0.0025978684,0.0019973624
2459773.3742459673,0.0019893646,0.0019973624
2459773.381190524,-0.00046145916,0.0019973624
2459773.38813508,0.00019061565,0.0019973624
2459773.3950796365,0.00018084049,0.0019973624
2459773.402024193,-0.0011497736,0.0019973624
2459773.4089687495,-0.0012444258,0.0019973624
2459773.415913306,-0.0042636395,0.0019973624
2459773.4228578624,-0.0023533702,0.0019973624
2459773.4298024187,-0.0014641881,0.0019973624
2459773.436746975,-0.0026543736,0.0019973624
2459773.4436915317,-0.00067448616,0.0019973624
2459773.450636088,0.00090897083,0.0019973624
2459773.457580644,0.00051653385,0.0019973624
2459773.4645252004,-0.0010073781,0.0019973624
2459773.471469757,-0.00039219856,0.0019973624
2459773.4784143134,-0.0044925213,0.0019973624
2459773.4853588697,-0.00054192543,0.0019973624
2459773.492303426,-0.0019698143,0.0019973624
2459773.499247982,-0.00089108944,0.0019973624
2459773.5061925384,-0.00034451485,0.0019973624
2459773.513137095,0.0015400648,0.0019973624
2459773.5200816514,-0.004015088,0.0019973624
2459773.5270262077,0.0017004013,0.0019973624
2459773.533970764,-0.0013331175,0.0019973624
2459773.54091532,8.702278e-06,0.0019973624
2459773.5478598764,-0.00087982416,0.0019973624
2459773.5548044327,-0.0003348589,0.0019973624
2459773.561748989,-0.0003963709,0.0019973624
2459773.568693545,-0.0035848618,0.0019973624
2459773.5756381014,-0.00010508299,0.0019973624
2459773.5825826577,-0.0035899878,0.0019973624
2459773.589527214,0.0019184351,0.0019973624
2459773.59647177,-0.0017579198,0.0019973624
2459773.6034163265,0.0032045841,0.0019973624
2459773.6103608827,-0.000641942,0.0019973624
2459773.617305439,0.0014625788,0.0019973624
2459773.624249995,-0.0004671812,0.0019973624
2459773.6311945515,-0.0015327334,0.0019973624
2459773.6381391073,-0.0029693842,0.0019973624
2459773.6450836635,-0.00082939863,0.0019973624
2459773.65202822,0.00073873997,0.0019973624
2459773.658972776,0.00028431416,0.0019973624
2459773.6659173323,0.0014952421,0.0019973624
2459773.672861888,0.0021891594,0.0019973624
2459773.6798064443,0.00055253506,0.0019973624
2459773.6867510006,-0.0014129281,0.0019973624
2459773.693695557,0.00400424,0.0019973624
2459773.7006401126,-0.0004335642,0.0019973624
2459773.707584669,0.0009024143,0.0019973624
2459773.714529225,0.000315547,0.0019973624
2459773.721473781,-0.0011124015,0.0019973624
2459773.728418337,-0.0013780594,0.0019973624
2459773.735362893,0.0012507439,0.0019973624
2459773.742307449,-0.0017416477,0.0019973624
2459773.7492520055,-0.0022381544,0.0019973624
2459773.7561965613,-0.0026509762,0.0019973624
2459773.7631411175,0.00195992,0.0019973624
2459773.7700856733,0.0045256615,0.0019973624
2459773.7770302296,0.0011405945,0.0019973624
2459773.7839747854,0.0018527508,0.0019973624
2459773.7909193416,0.00029551983,0.0019973624
2459773.7978638974,-0.0060210824,0.0019973624
2459773.804808453,0.00054085255,0.0019973624
2459773.8117530094,0.001987815,0.0019973624
2459773.8186975652,-0.0022262335,0.0019973624
2459773.8256421215,0.000877738,0.0019973624
2459773.8325866773,0.0013549328,0.0019973624
2459773.839531233,0.004585862,0.0019973624
2459773.8464757893,0.00090420246,0.0019973624
2459773.853420345,-0.0034348369,0.0019973624
2459773.860364901,-0.0022611022,0.0019973624
2459773.8673094567,-6.914139e-06,0.0019973624
2459773.874254013,-0.0037862659,0.0019973624
2459773.8811985687,0.0011231899,0.0019973624
2459773.8881431245,0.0073975325,0.0019973624
2459773.8950876803,0.0020216703,0.0019973624
2459773.9020322366,0.00010621548,0.0019973624
2459773.9089767924,0.003270626,0.0019973624
2459773.915921348,-0.00087833405,0.0019973624
2459773.922865904,0.00024342537,0.0019973624
2459773.9298104597,0.0035171509,0.0019973624
2459773.9367550155,-0.0011798143,0.0019973624
2459773.9436995713,-0.00061017275,0.0019973624
2459773.950644127,-0.0025191307,0.0019973624
2459773.957588683,-0.0014625788,0.0019973624
2459773.9645332387,-0.0060653687,0.0019973624
2459773.9714777945,0.0010874271,0.0019973624
2459773.9784223503,0.00011360645,0.0019973624
2459773.9853669065,-0.00088346004,0.0019973624
2459773.9923114623,0.001544714,0.0019973624
2459773.999256018,-0.0010695457,0.0019973624
2459774.0062005734,-0.001273036,0.0019973624
2459774.013145129,0.0013256073,0.0019973624
2459774.020089685,0.0012754202,0.0019973624
2459774.027034241,-0.0011467338,0.0019973624
2459774.0339787966,-0.0024427176,0.0019973624
2459774.0409233524,0.0025194883,0.0019973624
2459774.0478679077,-0.00017213821,0.0019973624
2459774.0548124635,-0.0010573268,0.0019973624
2459774.0617570193,-0.0044847727,0.0019973624
2459774.068701575,0.001177907,0.0019973624
2459774.0756461304,-0.0019146204,0.0019973624
2459774.082590686,-0.0013804436,0.0019973624
2459774.089535242,0.0019677877,0.0019973624
2459774.0964797973,-0.0038694143,0.0019973624
2459774.103424353,-0.0014578104,0.0019973624
2459774.110368909,-0.0008561015,0.0019973624
2459774.117313464,0.0023492575,0.0019973624
2459774.12425802,0.0004905462,0.0019973624
2459774.1312025753,-0.0028151274,0.0019973624
2459774.138147131,-0.0009533167,0.0019973624
2459774.1450916864,0.000192523,0.0019973624
2459774.152036242,-0.0041677356,0.0019973624
2459774.1589807975,-0.0015968084,0.0019973624
2459774.1659253533,-0.002647221,0.0019973624
2459774.1728699086,-0.00023716688,0.0019973624
2459774.1798144644,0.00062060356,0.0019973624
2459774.1867590197,-0.0021743178,0.0019973624
2459774.193703575,-0.0006020665,0.0019973624
2459774.200648131,-0.0031926036,0.0019973624
2459774.207592686,0.00028777122,0.0019973624
2459774.2145372415,-0.00036412477,0.0019973624
2459774.2214817973,-0.0032740235,0.0019973624
2459774.2284263526,0.000916481,0.0019973624
2459774.235370908,0.0029847622,0.0019973624
2459774.2423154633,0.0011678934,0.0019973624
2459774.249260019,-0.0019774437,0.0019973624
2459774.2562045744,-0.0009588599,0.0019973624
2459774.2631491297,0.0029381514,0.0019973624
2459774.270093685,-0.004756093,0.0019973624
2459774.2770382403,-0.0011444688,0.0019973624
2459774.2839827957,-0.0040776134,0.0019973624
2459774.290927351,0.00067543983,0.0019973624
2459774.297871907,0.0021642447,0.0019973624
2459774.304816462,-0.0037457347,0.0019973624
2459774.3117610174,-0.0033466816,0.0019973624
2459774.3187055727,0.0016992092,0.0019973624
2459774.325650128,-0.0007240176,0.0019973624
2459774.3325946834,0.001029849,0.0019973624
2459774.3395392383,0.0010323524,0.0019973624
2459774.3464837936,0.0002655983,0.0019973624
2459774.353428349,0.0028378963,0.0019973624
2459774.3603729047,-0.0020358562,0.0019973624
2459774.36731746,0.0006169081,0.0019973624
2459774.374262015,0.0010572672,0.0019973624
2459774.38120657,-0.0006856322,0.0019973624
2459774.3881511255,-0.0029429197,0.0019973624
2459774.395095681,0.00094246864,0.0019973624
2459774.4020402357,-0.002375722,0.0019973624
2459774.408984791,-0.0015192032,0.0019973624
2459774.4159293463,-0.0007609725,0.0019973624
2459774.4228739017,-0.00047403574,0.0019973624
2459774.4298184565,0.00081670284,0.0019973624
2459774.436763012,-0.0005995035,0.0019973624
2459774.443707567,-0.0029084682,0.0019973624
2459774.450652122,-0.003117025,0.0019973624
2459774.4575966774,0.00057804585,0.0019973624
2459774.464541232,0.0016499758,0.0019973624
2459774.4714857875,-0.0027606487,0.0019973624
2459774.4784303424,-0.00047153234,0.0019973624
2459774.4853748977,0.0006197691,0.0019973624
2459774.4923194526,-0.0006650686,0.0019973624
2459774.499264008,0.0009202957,0.0019973624
2459774.5062085628,0.0018194914,0.0019973624
2459774.513153118,-0.00019413233,0.0019973624
2459774.520097673,-0.0017830133,0.0019973624
2459774.527042228,-0.0043740273,0.0019973624
2459774.533986783,0.003229022,0.0019973624
2459774.540931338,-0.0021927953,0.0019973624
2459774.547875893,-0.00045961142,0.0019973624
2459774.554820448,-0.002447307,0.0019973624
2459774.561765003,0.0006067753,0.0019973624
2459774.568709558,-0.0005033016,0.0019973624
2459774.5756541127,-0.002927661,0.0019973624
2459774.5825986676,0.002321124,0.0019973624
2459774.589543223,0.0013736486,0.0019973624
2459774.596487778,-0.00016921759,0.0019973624
2459774.6034323326,0.0021520853,0.0019973624
2459774.6103768875,-0.0005466938,0.0019973624
2459774.6173214423,-0.0023961067,0.0019973624
2459774.624265997,-0.0028464794,0.0019973624
2459774.631210552,0.0023887157,0.0019973624
2459774.638155107,0.005358696,0.0019973624
2459774.645099662,-0.0007325411,0.0019973624
2459774.6520442166,0.0031011105,0.0019973624
2459774.6589887715,-0.0014501214,0.0019973624
2459774.6659333264,-0.002032876,0.0019973624
2459774.672877881,0.00116992,0.0019973624
2459774.679822436,7.9870224e-05,0.0019973624
2459774.686766991,0.0019829273,0.0019973624
2459774.6937115453,0.0012681484,0.0019973624
2459774.7006561,0.00025212765,0.0019973624
2459774.707600655,4.7922134e-05,0.0019973624
2459774.71454521,-2.4020672e-05,0.0019973624
2459774.7214897648,-0.00012511015,0.0019973624
2459774.728434319,-0.0029922128,0.0019973624
2459774.735378874,0.0012484789,0.0019973624
2459774.742323429,-0.0014481544,0.0019973624
2459774.7492679837,0.000908494,0.0019973624
2459774.756212538,-0.00062692165,0.0019973624
2459774.763157093,0.00016450882,0.0019973624
2459774.770101648,0.0004464388,0.0019973624
2459774.777046202,0.0014270544,0.0019973624
2459774.783990757,-0.0021992326,0.0019973624
2459774.7909353115,-0.0008599162,0.0019973624
2459774.7978798663,-0.00112921,0.0019973624
2459774.8048244207,0.00032293797,0.0019973624
2459774.8117689756,-0.0028129816,0.0019973624
2459774.81871353,0.0017539263,0.0019973624
2459774.8256580844,0.0032305717,0.0019973624
2459774.832602639,-0.002256155,0.0019973624
2459774.8395471936,-0.0006352067,0.0019973624
2459774.846491748,0.0019448996,0.0019973624
2459774.853436303,0.0009344816,0.0019973624
2459774.8603808573,-0.000508368,0.0019973624
2459774.8673254116,0.00011694431,0.0019973624
2459774.874269966,-0.002022624,0.0019973624
2459774.881214521,-0.0031167865,0.0019973624
2459774.8881590753,-0.00054752827,0.0019973624
2459774.8951036297,0.0006569624,0.0019973624
2459774.902048184,-0.0007291436,0.0019973624
2459774.9089927385,-0.0011281967,0.0019973624
2459774.915937293,-0.0039035678,0.0019973624
2459774.9228818472,0.0013608932,0.0019973624
2459774.9298264016,0.0049363375,0.0019973624
2459774.936770956,-0.001842022,0.0019973624
2459774.9437155104,-0.0040141344,0.0019973624
2459774.950660065,-0.0004953146,0.0019973624
2459774.957604619,-0.0011835694,0.0019973624
2459774.9645491736,0.0017713308,0.0019973624
2459774.971493728,-0.0036928058,0.0019973624
2459774.9784382824,-0.0021059513,0.0019973624
2459774.985382837,-0.00016510487,0.0019973624
2459774.992327391,-0.00019806623,0.0019973624
2459774.9992719456,0.00409472,0.0019973624
2459775.0062164995,0.0008678436,0.0019973624
2459775.013161054,0.00209558,0.0019973624
2459775.0201056083,-0.0015277267,0.0019973624
2459775.0270501627,-0.0007289648,0.0019973624
2459775.0339947166,-0.00095647573,0.0019973624
2459775.040939271,-0.0008377433,0.0019973624
2459775.0478838254,0.0010143518,0.0019973624
2459775.0548283793,0.0017031431,0.0019973624
2459775.0617729337,-0.001437366,0.0019973624
2459775.0687174876,0.0012112856,0.0019973624
2459775.075662042,0.004387617,0.0019973624
2459775.082606596,-0.0015375018,0.0019973624
2459775.0895511503,0.0033655167,0.0019973624
2459775.0964957043,-0.0015618801,0.0019973624
2459775.1034402587,0.0003732443,0.0019973624
2459775.1103848126,-0.0007299781,0.0019973624
2459775.117329367,-0.0057495832,0.0019973624
2459775.124273921,0.0029394627,0.0019973624
2459775.1312184753,-0.0039289594,0.0019973624
2459775.138163029,0.0010112524,0.0019973624
2459775.145107583,0.0026812553,0.0019973624
2459775.1520521375,0.0015084743,0.0019973624
2459775.1589966915,0.00019276142,0.0019973624
2459775.1659412454,0.00043058395,0.0019973624
2459775.1728857993,-0.0014266372,0.0019973624
2459775.1798303537,-0.0013173223,0.0019973624
2459775.1867749076,1.6450882e-05,0.0019973624
2459775.1937194616,-0.0018866658,0.0019973624
2459775.2006640155,-0.0022425652,0.0019973624
2459775.2076085694,-0.00331676,0.0019973624
2459775.2145531233,-1.2397766e-05,0.0019973624
2459775.2214976773,-0.0004145503,0.0019973624
2459775.228442231,-0.0027891397,0.0019973624
2459775.235386785,-0.0052917004,0.0019973624
