koi #	TTV amplitude (mins)	BIC score (>10 = strong evidence)		
439.01	0.750711462753549	-0.3
440.01	6.076223952460521	9.23
440.02	3.2963041548663443	1.67
442.01	16.096298424195993	65.2
443.01	6.094482450409525	0.88
444.01	5.823107885578711	-1.85
446.01	8.68993241322302	11.17
446.02	14.68040086178875	9.72
448.01	5.476307539912295	14.34
448.02	461.0598207490614	19600.66
452.01	6.773412475186822	14.6
454.01	8.81082972270012	-0.07
456.01	20.685773341445525	410.05
456.02	14.228120624947845	18.32
457.01	2.679259920259955	-1.83
457.02	9.107801718265716	113.26
458.01	2.267043414748332	-5.26
459.01	4.886989418355118	8.27
460.01	2.4776827802028887	-5.29
463.01	4.372812445071047	42.79
464.01	4.0325370407662735	62.2
464.02	4.260643132319297	14.96
466.01	1.4059276234102296	-1.32
467.01	1.6516348543094428	0.04
468.01	2.7579620173728547	-3.52
469.01	1.860098586814976	12.84
470.01	1.0263068914883156	-1.3900000000000001
471.01	10.894849957939016	25.53
473.01	32.53037495398587	476.58
474.01	7.557762269023418	12.13
474.02	96.43323818309337	39.5
474.03	443.67234121110937	1266.63
475.01	7.781711509761485	9.09
475.02	15.735191842106646	77.68
476.01	9.023513669919762	4.5
477.01	13.466791848792235	39.36
478.01	2.1844844050542642	10.51
479.01	5.300422261397378	4.5600000000000005
480.01	2.361340092290771	-0.8200000000000001
481.01	3.6377219323370205	3.42
481.02	5.596226958993952	35.
481.03	13.565287501285514	29.45
483.01	4.316931872685713	6.43
484.01	5.174904116268602	6.41
486.01	6.346866277678354	5.22
487.01	10.453505159304411	47.33
488.01	12.338233285098177	26.1
490.01	7.041126553210439	20.22
490.03	11.297148857534925	38.45
490.04	33.385492309388134	105.47
492.01	15.231902872129826	16.52
494.01	11.952704366737262	0.12
496.01	3.7724853668536382	11.700000000000001
497.01	11.169300900525279	10.98
499.01	9.07928850094187	6.
500.01	9.398625154064513	101.44
500.02	9.154095897776081	94.73
500.03	13.098842791335583	53.06
500.04	16.553770000791648	79.96000000000001
501.01	17.29653606011672	0.8300000000000001
503.01	3.3622840392498476	-4.6000000000000005
504.01	14.121028778858273	2.6
505.01	10.790668978623563	22.75
505.02	30.223635104688487	112.53
505.04	22.34749571323567	44.43
505.05	7.660875059494973	-1.26
507.01	3.9187319842397526	-0.05
508.01	4.258394537768763	0.93
508.02	9.540778878032988	17.14
509.01	6.2322992055265845	30.26
509.02	5.515704774985662	5.08
509.03	195.51776591866863	974.64
510.01	9.424470625435395	30.6
510.02	14.308006955727365	63.
510.03	20.605535272354413	10.5
510.04	18.239273664224413	1.26
511.01	4.918880672430787	19.79
512.01	17.754726334898244	153.24
513.01	8.926230038240805	0.48
517.01	2.054251470794448	8.63
518.01	3.9295007227738075	9.28
518.02	10.329142659081922	11.14
518.03	6.895542616602303	-3.21
519.01	14.346925963033648	14.71
519.02	19.239593284419442	14.120000000000001
520.01	19.563018043856136	245.72
520.02	27.470192145647534	137.94
520.03	19.06964232774368	74.53
521.01	3.53420209420324	7.94
523.01	16.02271803224727	106.11
523.02	22.651778698632086	8.91
524.01	18.342506610299232	627.01
525.01	56.084274305222216	1505.3500000000001
526.01	1.234397242614199	-6.7700000000000005
528.01	3.8981916767462863	-4.6000000000000005
528.02	23.130791499279802	39.09
528.03	10.190119828680128	30.17
530.01	15.463330675740325	39.160000000000004
531.01	2.307900677305873	683.36
532.01	5.777258840598431	33.69
533.01	10.632845416973787	10.65
534.01	6.670876669079407	26.34
534.02	8.808667358609497	15.15
535.01	3.714799958215202	11.8
536.01	8.963472386140447	-1.1
537.01	5.601949081693409	3.36
538.01	12.68982959881883	27.07
541.01	14.900889542348994	64.08
542.01	10.755535208786757	0.21
542.02	27.53331378720329	25.07
543.01	5.102603041187017	12.1
546.01	10.115181602355726	6.38
546.02	23.489733298846524	55.49
547.01	6.047021508935537	37.74
548.01	30.933647994536674	1.9000000000000001
550.01	7.704964551866462	5.72
551.01	9.551857001974895	7.88
551.02	16.22282691635963	76.79
555.02	10.492743317149	-3.86
557.01	6.654327282466322	-1.57
558.01	7.5130675468490224	30.94
560.01	8.904179068241861	9.96
561.01	8.869640557069223	61.65
563.01	25.19536263595023	48.57
564.01	1941.1133554641003	93483.40000000001
564.02	111.44321213254966	869.82
566.01	15.111598798335695	15.36
567.01	4.450691177245638	1.27
567.02	11.85944728928096	9.92
567.03	6.327687968738473	-2.24
568.01	8.010321233540738	24.650000000000002
569.01	10.18835495895788	10.06
571.01	9.73629501722251	44.09
571.02	10.019629772506056	30.39
571.03	5.747825097950038	7.45
571.04	12.355043382162203	11.67
571.05	35.73390688793551	-0.53
572.01	14.940498804290758	43.78
573.01	6.812831892777653	13.38
574.01	5.115581094965439	2.74
575.01	9.492365122684797	4.01
577.01	19.700788341213418	4.08
578.01	2.89398337088158	2.99
579.01	11.963992491811695	28.77
579.02	6.300334411663753	5.69
580.01	6.6741651443013215	30.330000000000002
581.01	3.472056210247024	15.69
581.02	57.0248802208325	71.16
582.01	5.3850995301298	20.04
582.02	17.263361873315652	32.37
582.03	22.028188242829604	28.490000000000002
583.01	13.854808475343345	71.88
584.01	3.908590114863357	7.640000000000001
