#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	AIRMASS
2460097.705601	0.989208	0.006564	1.137870
2460097.706076	1.008583	0.006639	1.136520
2460097.706618	1.006559	0.006602	1.134990
2460097.707092	0.996337	0.006587	1.133660
2460097.707626	0.993379	0.006650	1.132171
2460097.708157	0.985105	0.006627	1.130701
2460097.708632	0.994544	0.006523	1.129397
2460097.709169	0.987102	0.006556	1.127930
2460097.709697	0.993682	0.006503	1.126528
2460097.710233	0.994456	0.006488	1.125085
2460097.710735	0.987126	0.006466	1.123743
2460097.711266	0.998660	0.006535	1.122333
2460097.711794	0.993548	0.006504	1.120938
2460097.712271	0.984523	0.006468	1.119689
2460097.712803	0.984641	0.006460	1.118305
2460097.713332	0.995426	0.006449	1.116941
2460097.713868	0.996186	0.006443	1.115567
2460097.714402	1.004591	0.006446	1.114210
2460097.714878	1.003425	0.006483	1.113007
2460097.715354	1.000425	0.006480	1.111813
2460097.715881	0.996651	0.006425	1.110499
2460097.716405	0.987165	0.006444	1.109202
2460097.716880	0.998511	0.006469	1.108033
2460097.717355	0.995558	0.006477	1.106873
2460097.717886	1.000636	0.006465	1.105584
2460097.718363	0.988579	0.006428	1.104436
2460097.718893	0.995113	0.006450	1.103169
2460097.719426	1.011728	0.006513	1.101901
2460097.719958	0.994034	0.006365	1.100648
2460097.720434	0.984236	0.006355	1.099533
2460097.720936	0.989695	0.006395	1.098367
2460097.721412	1.000221	0.006382	1.097243
2460097.721940	1.000200	0.006367	1.096035
2460097.722476	0.991790	0.006367	1.094817
2460097.723012	0.993906	0.006375	1.093606
2460097.723543	0.990828	0.006456	1.092416
2460097.724019	0.990103	0.006353	1.091383
2460097.724552	0.996203	0.006363	1.090182
2460097.725052	0.993389	0.006357	1.089110
2460097.725579	0.996523	0.006397	1.087965
2460097.726080	0.989390	0.006344	1.086883
2460097.726613	0.998393	0.006343	1.085742
2460097.727090	1.000590	0.006353	1.084729
2460097.727627	1.003148	0.006365	1.083597
2460097.728166	0.996329	0.006341	1.082469
2460097.728684	0.999625	0.006385	1.081392
2460097.729161	0.993393	0.006351	1.080409
2460097.729691	0.994260	0.006335	1.079324
2460097.730218	0.992448	0.006367	1.078232
2460097.730751	1.003561	0.006392	1.077181
2460097.731274	0.989320	0.006333	1.076139
2460097.731774	0.998938	0.006342	1.075146
2460097.732299	0.990876	0.006325	1.074115
2460097.732772	0.996906	0.006388	1.073191
2460097.733307	1.001373	0.006356	1.072155
2460097.733843	0.994831	0.006407	1.071127
2460097.734365	0.995122	0.006382	1.070132
2460097.734841	1.003918	0.006361	1.069233
2460097.735367	0.996123	0.006349	1.068248
2460097.735901	1.000726	0.006270	1.067257
2460097.736429	0.976738	0.006261	1.066283
2460097.736960	1.004721	0.006270	1.065312
2460097.737460	0.994999	0.006305	1.064407
2460097.737990	0.989058	0.006270	1.063452
2460097.738464	0.991354	0.006256	1.062606
2460097.738994	1.008562	0.006248	1.061669
2460097.739468	1.007837	0.006302	1.060836
2460097.740010	0.989010	0.006288	1.059892
2460097.740558	1.003887	0.006262	1.058946
2460097.741107	0.984320	0.006251	1.058006
2460097.741651	0.986663	0.006236	1.057086
2460097.742171	1.000359	0.006259	1.056214
2460097.742702	0.988847	0.006232	1.055331
2460097.743228	0.982989	0.006219	1.054463
2460097.743729	0.981105	0.006213	1.053646
2460097.744230	0.986022	0.006226	1.052834
2460097.744706	0.993877	0.006278	1.052069
2460097.745183	0.988683	0.006211	1.051310
2460097.745707	0.990868	0.006223	1.050483
2460097.746228	0.986065	0.006224	1.049667
2460097.746757	0.991906	0.006247	1.048848
2460097.747295	0.990090	0.006265	1.048021
2460097.747829	0.997329	0.006239	1.047209
2460097.748360	0.988296	0.006278	1.046409
2460097.748835	0.992419	0.006199	1.045701
2460097.749369	0.991721	0.006186	1.044927
2460097.749892	0.988502	0.006183	1.044145
2460097.750420	0.980983	0.006163	1.043395
2460097.750949	0.992504	0.006202	1.042636
2460097.751488	0.999452	0.006311	1.041854
2460097.753611	0.985564	0.006316	1.038911
